Model,RMSE,MAE,R²,Direction_Acc
Lasso,2.7956411174075346,2.1795467147296863,-0.10085200656079052,66.66666666666666
Elastic Net,2.8451910133621143,2.230153565308041,-0.140220792493003,69.44444444444444
Baseline (Mean),2.991206183480789,2.102807109752544,-0.2602560749375791,33.33333333333333
Baseline (Median),3.017023197949927,2.1307605138689105,-0.28210442384413126,33.33333333333333
SVR (RBF),3.040210535674325,2.1276455079092322,-0.301887385974309,38.88888888888889
Ridge,3.152371490687751,2.482745816230625,-0.39971907829963427,58.333333333333336
Linear Regression,3.202881443852172,2.517611359741552,-0.44493338806811744,52.77777777777778
Extra Trees,3.2974165669716076,2.5293788297262823,-0.5314884679493221,44.44444444444444
SVR (Linear),3.452564782731859,2.446924608191194,-0.6789964283575596,38.88888888888889
XGBoost,3.781590536904014,2.9073130624113,-1.0142580350360793,52.77777777777778
Random Forest,4.016779809037148,3.507585821502253,-1.2725955417949946,66.66666666666666
KNN,4.0723289146548876,3.2861421538248434,-1.3358868166039235,27.77777777777778
Gradient Boosting,4.721915223933049,3.5884283977261537,-2.1405265619293123,55.55555555555556
Decision Tree,5.5024756483576285,4.110714382446464,-3.264639824615772,41.66666666666667
Neural Network,6.188507937586491,4.704629925172709,-4.394336127510316,38.88888888888889
